FLAGE1,3D12E1,FLAGE3,3D12E3,SPB5701,,,
3.22640356,6.23740643,6.48538474,11.59345764,1.95986523,,,
0.53641242,1.1778828,2.83865282,4.707356377,0.16615312,,,
0.20243018,0.75128506,1.42101847,2.795695935,0.20681418,,,
0.54639226,1.53076662,2.46652558,5.325084888,0.26570301,,,
2.2135094,4.90865706,4.59213325,9.66087878,1.46212453,,,
9.1032312,17.7076728,13.0461045,24.64279958,5.42943538,,,
8.02760122,16.4967118,11.546606,23.35377985,4.43245135,,,
2.96942262,8.93489975,5.66112051,14.24808371,4.35843714,,,
9.35122631,19.0899141,11.8278567,22.71267632,5.85589031,,,
0.63534598,1.37561052,3.13122793,5.225975736,0.19294841,,,
0.81679754,1.49597988,4.28429909,6.104502894,0.20347042,,,
0.84778447,1.62552694,5.08012016,6.981060441,0.19390544,,,
0.92959329,1.66874102,4.27268006,6.239566711,0.22004075,,,
0.80672272,1.51673114,3.87588657,5.809768229,0.1790479,,,
9.63603586,19.6303167,14.5580561,27.58247501,5.78120877,,,
1.14721894,2.29457254,4.52026021,6.759679376,0.67774975,,,
1.10659998,2.25941398,4.16158264,6.305867482,0.66012755,,,
7.1512885,14.3133284,9.85991281,19.17111831,4.07501757,,,
8.58705706,17.072198,9.60963714,17.82093885,5.27083761,,,