BLCL prediction,NKG2A
29.437,11.35
14.694,5.84
19.714,5.11
11.736,4.15
15.985,5.73
20.835,8.86
26.491,5.33
19.534,4.23
25.657,5.82
20.835,3.1
18.474,4
18.474,5.45
17.640,8.07
18.126,9.33
18.474,9.7
22.711,11.99
21.241,7.66
23.545,9.48
22.075,11.77
27.730,10.9
5.844,2.42
17.640,6.74
11.736,3.26
26.491,4.75
23.781,13.03
20.586,7.28
18.474,10.67
23.545,2.43
21.420,8.48
17.640,5.48
20.586,9.56
21.004,5.69
22.075,10.33
22.711,8.77
21.004,4.95
11.736,5.57
23.545,10.25
24.784,5.78
29.437,8.09
20.586,9.38
11.736,8.18
20.001,8.06
29.437,10.53
29.437,11.7
24.784,2.51
10.914,5.14
22.711,13.89
23.545,12.01
15.985,4.75
21.420,6.66
26.024,18.99
23.781,17.48
18.244,4.68
24.784,5.29
26.491,14.1
23.545,7.34
24.784,19.12
23.545,15.21
17.640,5.55
29.437,16.81
20.586,9.49
23.545,9.8
23.781,12.44
26.024,11.25
9.624,4
23.545,15.51
24.784,9.72
27.730,14.17
27.730,11.75
15.934,3.99
20.586,5.66
26.491,10.75
27.730,19.38
22.711,11.72
24.784,18.48
20.586,10.27
17.640,8.78
17.640,12.89
26.491,17.53
29.437,16.62
11.736,4.75
19.765,20.83
21.420,12.6
25.657,10.98
23.781,10.42
25.021,12.24
15.754,5.43
11.736,2.74
20.586,11.31
20.586,5.75
11.151,4.03
27.730,15.89
13.404,6.5
26.491,9.73
17.640,6.8
26.491,6.82
14.931,5.15
21.004,5.77
16.806,5.16
21.420,14.89
19.765,8.1
21.420,14.88
23.781,10.28
21.420,10.69
17.640,5.29
23.545,11.73
8.790,3.95
23.545,5.66
26.491,6.34
23.950,5.63
13.860,3.59
26.491,5.15
11.736,3.67
14.694,2.91
20.586,5.76
21.420,7.81
21.004,9.75
22.660,2.58
27.730,13.1
18.880,4.4
14.694,2.72
14.694,4.78
29.437,12.87
21.420,13.84
26.491,8.46
14.694,1.97
26.491,5.14
17.640,2.52
26.491,3.34