,15_Score_BLCL363,CD107a_sub
HD307,11.15,24.705
HD325,12.15,32.565
HD358,24.78,66.84
HD359,27.73,81.09
HD360,24.78,78.18
HD361,29.43,68.79
HD362,14.69,48.39
HD363,8.79,29.385
HD364,25.02,59.325
HD365,20.58,54.495
HD366,17.64,72.54
HD367,18.47,40.755
HD368,21.42,63.645
HD369,17.05,68.715
HD370,22.07,59.835
HD371,13.86,41.37
HD372,15.93,51.135
HD373,5.84,24.855
HD374,22.07,52.65
HD375,13.4,52.755
HD376,17.64,56.07
HD377,14.93,70.68
HD378,14.69,46.74
HD379,19.71,52.71
HD380,22.71,56.085
HD381,17.22,60.345
HD382,24.78,85.86
HD383,15.93,68.085
HD384,19.36,68.52
HD385,26.49,59.895
HD386,14.69,72.225
HD387,17.64,46.785
HD388,15.93,60.345
HD389,22.94,41.46
HD255,29.43,93.03
HD256,11.73,43.695
HD257,17.64,36.225
HD258,8.79,36.63
HD274,8.79,21.735
HD275,26.49,75.93
HD284,13.4,37.035
HD285,29.43,59.625
HD286,26.49,46.92
HD247,15.51,66.375
HD248,11.73,53.325
HD216,29.43,64.305
HD218,26.49,62.28
HD226,8.79,43.575